id action freq period
12 A74 P6 1-3
2 A97 P7 3-5
15 A55 P6 9-12
8 A92 P6 3-5
21 A84 P1 3-5
18 A83 P7 9-12
18 A72 P7 9-12
4 A2 P8 3-5
22 A23 P2 3-5
3 A99 P5 9-12
16 A3 P10 3-5
17 A64 P10 3-5
23 A92 P4 3-5
11 A69 P6 3-5
7 A95 P10 3-5
14 A5 P3 9-12
20 A70 P5 1-3
25 A28 P7 9-12
13 A38 P5 1-3
17 A33 P8 9-12
19 A25 P3 3-5
25 A27 P5 9-12
12 A58 P9 1-3
21 A62 P6 9-12
10 A49 P2 3-5
11 A62 P4 3-5
22 A39 P3 3-5
7 A24 P9 3-5
12 A85 P10 1-3
30 A25 P9 9-12
18 A35 P2 3-5
25 A96 P6 3-5
14 A31 P4 3-5
28 A46 P9 3-5
11 A75 P1 3-5
24 A49 P3 9-12
28 A33 P5 1-3
28 A62 P9 9-12
15 A11 P8 3-5
29 A53 P6 9-12
13 A32 P10 3-5
20 A98 P3 3-5
4 A93 P3 3-5
9 A95 P10 9-12
18 A76 P8 3-5
8 A10 P7 9-12
29 A89 P9 1-3
11 A23 P2 9-12
28 A42 P3 3-5
17 A18 P8 9-12
21 A93 P1 3-5
5 A39 P10 3-5
4 A66 P6 3-5
2 A79 P1 1-3
1 A40 P6 9-12
25 A97 P10 1-3
29 A47 P4 1-3
19 A10 P5 1-3
12 A21 P6 3-5
29 A9 P6 3-5
22 A47 P9 9-12
22 A27 P4 1-3
23 A73 P8 9-12
22 A66 P8 3-5
16 A16 P8 9-12
10 A58 P10 1-3
10 A83 P7 9-12
15 A52 P1 1-3
29 A73 P2 1-3
17 A80 P3 3-5
23 A67 P7 9-12
2 A98 P3 3-5
24 A56 P6 1-3
25 A88 P10 3-5
2 A23 P9 3-5
5 A3 P6 3-5
20 A90 P9 3-5
18 A59 P8 9-12
20 A50 P9 1-3
15 A40 P6 1-3
30 A58 P1 1-3
21 A46 P6 1-3
20 A72 P5 9-12
18 A22 P1 3-5
4 A30 P8 9-12
11 A78 P9 9-12
26 A29 P1 1-3
22 A54 P9 1-3
7 A47 P5 1-3
1 A89 P7 1-3
3 A31 P1 9-12
20 A69 P6 9-12
17 A34 P5 3-5
9 A69 P4 3-5
12 A1 P3 3-5
10 A58 P10 1-3
19 A43 P8 3-5
28 A18 P9 9-12
15 A25 P4 3-5
18 A27 P9 9-12
6 A59 P10 1-3
16 A6 P10 9-12
6 A84 P9 3-5
9 A29 P9 3-5
17 A40 P6 3-5
12 A66 P4 3-5
4 A33 P2 1-3
26 A37 P4 3-5
26 A87 P4 9-12
8 A75 P1 1-3
15 A34 P4 3-5
3 A95 P3 3-5
23 A2 P6 3-5
11 A31 P7 9-12
27 A66 P4 3-5
19 A99 P3 9-12
26 A68 P6 1-3
12 A2 P9 1-3
24 A33 P9 1-3
19 A12 P4 3-5
10 A69 P10 9-12
8 A40 P6 3-5
8 A34 P8 3-5
30 A7 P1 9-12
8 A99 P4 9-12
21 A88 P8 9-12
5 A32 P1 9-12
29 A87 P4 9-12
30 A49 P3 3-5
21 A81 P4 3-5
4 A40 P1 9-12
2 A58 P10 3-5
15 A92 P7 1-3
7 A30 P1 3-5
4 A72 P10 3-5
24 A53 P7 9-12
8 A55 P8 1-3
6 A16 P8 3-5
4 A79 P3 3-5
12 A28 P3 3-5
26 A19 P2 1-3
6 A95 P10 3-5
16 A27 P8 9-12
12 A18 P1 1-3
25 A8 P5 1-3
26 A64 P3 3-5
8 A11 P7 1-3
4 A31 P2 9-12
7 A72 P8 3-5
8 A32 P1 1-3
27 A46 P9 1-3
18 A58 P4 1-3
18 A88 P1 1-3
1 A76 P6 3-5
18 A76 P2 3-5
1 A85 P10 1-3
15 A72 P1 1-3
6 A25 P7 9-12
8 A5 P10 9-12
22 A0 P9 3-5
8 A9 P8 9-12
2 A50 P7 9-12
21 A20 P3 1-3
11 A78 P4 3-5
30 A26 P7 9-12
3 A33 P3 1-3
1 A84 P1 1-3
10 A12 P4 1-3
18 A26 P10 3-5
26 A41 P4 1-3
8 A41 P6 1-3
16 A82 P6 9-12
22 A82 P9 3-5
6 A82 P6 1-3
19 A41 P6 3-5
2 A41 P6 1-3
17 A53 P5 9-12
8 A44 P10 9-12
1 A72 P5 9-12
20 A97 P7 9-12
8 A76 P1 9-12
23 A11 P8 3-5
28 A45 P9 9-12
11 A58 P10 9-12
25 A37 P2 1-3
26 A19 P3 3-5
8 A96 P6 3-5
16 A46 P10 9-12
10 A49 P3 9-12
28 A53 P4 9-12
26 A9 P4 9-12
23 A11 P2 3-5
27 A21 P2 1-3
18 A27 P8 3-5
25 A19 P2 1-3
30 A11 P6 9-12
6 A51 P3 3-5
9 A26 P7 3-5
7 A58 P4 3-5
28 A84 P4 3-5
29 A45 P3 1-3
28 A82 P1 1-3
19 A86 P9 3-5
24 A37 P4 3-5
24 A37 P9 1-3
26 A19 P1 1-3
10 A71 P7 3-5
18 A27 P1 9-12
1 A34 P4 3-5
6 A89 P10 1-3
7 A99 P7 1-3
20 A29 P1 1-3
29 A42 P4 3-5
21 A87 P9 9-12
4 A11 P6 3-5
26 A7 P7 9-12
10 A47 P6 1-3
11 A26 P1 9-12
5 A96 P6 3-5
21 A22 P1 3-5
19 A55 P7 1-3
28 A14 P2 9-12
7 A5 P3 9-12
16 A34 P2 3-5
10 A86 P6 9-12
2 A13 P6 9-12
23 A75 P2 1-3
14 A37 P8 9-12
26 A64 P2 9-12
1 A67 P1 3-5
4 A40 P3 3-5
27 A20 P10 1-3
17 A5 P3 9-12
30 A22 P5 9-12
13 A66 P9 1-3
24 A32 P6 1-3
6 A85 P10 1-3
23 A33 P4 1-3
5 A30 P4 9-12
8 A21 P1 3-5
22 A76 P2 3-5
22 A44 P8 9-12
28 A29 P1 3-5
5 A85 P8 3-5
10 A41 P10 9-12
21 A63 P3 1-3
20 A65 P4 3-5
4 A36 P1 3-5
5 A32 P9 9-12
25 A15 P7 3-5
16 A88 P5 1-3
30 A93 P9 3-5
11 A56 P5 3-5
29 A30 P2 9-12
17 A84 P1 3-5
15 A28 P4 9-12
3 A53 P4 9-12
23 A47 P9 3-5
20 A69 P10 1-3
8 A1 P7 3-5
8 A1 P7 1-3
13 A31 P6 9-12
19 A17 P9 3-5
23 A83 P5 1-3
14 A79 P3 1-3
16 A14 P7 9-12
7 A29 P4 1-3
25 A11 P6 3-5
16 A39 P8 1-3
14 A9 P10 3-5
8 A0 P3 3-5
13 A1 P2 3-5
7 A79 P1 1-3
17 A54 P8 9-12
30 A85 P10 3-5
20 A72 P7 3-5
10 A78 P6 9-12
15 A18 P1 9-12
29 A11 P7 3-5
22 A86 P6 3-5
17 A44 P2 9-12
28 A54 P7 3-5
22 A48 P3 9-12
19 A52 P10 1-3
2 A67 P7 9-12
7 A72 P7 1-3
7 A71 P6 1-3
16 A35 P2 3-5
1 A3 P10 1-3
6 A41 P7 1-3
15 A43 P8 9-12
18 A39 P2 3-5
18 A57 P6 3-5
25 A42 P3 1-3
11 A24 P9 3-5
28 A27 P10 1-3
2 A19 P1 9-12
17 A77 P5 3-5
14 A90 P8 1-3
14 A91 P3 1-3
3 A23 P2 9-12
12 A99 P10 9-12
25 A45 P9 3-5
6 A25 P9 1-3
4 A61 P4 3-5
12 A34 P4 3-5
29 A41 P7 1-3
13 A37 P7 1-3
18 A81 P2 9-12
16 A12 P3 1-3
28 A82 P6 1-3
3 A77 P2 1-3
20 A49 P3 9-12
11 A93 P3 3-5
19 A80 P1 9-12
2 A65 P1 3-5
22 A10 P7 9-12
9 A71 P1 9-12
4 A9 P3 9-12
24 A1 P7 3-5
8 A82 P6 3-5
24 A87 P10 3-5
7 A12 P6 1-3
13 A85 P10 9-12
18 A73 P4 1-3
15 A10 P1 9-12
5 A53 P7 9-12
24 A81 P2 3-5
13 A68 P7 3-5
13 A65 P5 1-3
19 A51 P3 9-12
22 A30 P4 9-12
29 A82 P10 3-5
14 A48 P6 9-12
16 A78 P3 3-5
24 A91 P10 9-12
6 A13 P1 1-3
7 A62 P3 9-12
25 A73 P2 9-12
20 A27 P3 3-5
21 A68 P7 1-3
29 A59 P2 9-12
1 A60 P1 3-5
8 A74 P6 9-12
22 A53 P4 9-12
4 A92 P5 1-3
3 A22 P4 9-12
23 A64 P1 3-5
27 A56 P6 3-5
1 A99 P1 1-3
7 A31 P1 3-5
17 A81 P8 9-12
8 A96 P8 3-5
20 A76 P8 3-5
22 A50 P4 1-3
12 A40 P3 1-3
5 A48 P7 9-12
16 A26 P5 1-3
24 A87 P2 9-12
11 A22 P8 1-3
5 A33 P5 1-3
30 A45 P4 1-3
27 A41 P10 1-3
5 A91 P8 1-3
17 A55 P6 3-5
20 A65 P10 1-3
25 A86 P7 3-5
7 A1 P5 3-5
22 A56 P6 3-5
1 A4 P6 3-5
13 A29 P1 9-12
18 A51 P4 1-3
22 A17 P2 1-3
2 A12 P4 1-3
14 A84 P2 3-5
4 A46 P9 9-12
27 A17 P9 3-5
23 A50 P8 1-3
22 A8 P9 3-5
10 A24 P9 3-5
25 A11 P4 3-5
2 A65 P6 3-5
23 A91 P4 9-12
5 A84 P1 3-5
12 A60 P10 3-5
25 A39 P3 1-3
16 A27 P1 1-3
11 A67 P9 9-12
16 A92 P5 3-5
13 A28 P6 1-3
27 A76 P9 3-5
28 A20 P3 1-3
19 A66 P1 3-5
2 A16 P8 1-3
15 A64 P3 3-5
28 A15 P2 1-3
2 A45 P6 9-12
3 A47 P3 3-5
12 A29 P1 9-12
5 A68 P8 1-3
1 A12 P6 3-5
17 A78 P3 3-5
26 A15 P3 3-5
1 A26 P9 3-5
13 A93 P8 3-5
17 A60 P10 9-12
15 A85 P9 3-5
2 A92 P4 9-12
7 A79 P3 1-3
18 A68 P8 9-12
14 A17 P8 1-3
20 A9 P2 9-12
20 A20 P1 9-12
20 A95 P4 3-5
28 A24 P8 3-5
30 A37 P3 1-3
13 A24 P9 3-5
1 A36 P1 3-5
15 A24 P7 3-5
27 A11 P6 3-5
13 A80 P2 9-12
19 A95 P3 1-3
29 A20 P10 9-12
12 A52 P3 1-3
14 A15 P3 9-12
23 A43 P9 9-12
5 A76 P8 3-5
17 A64 P7 3-5
26 A63 P3 9-12
26 A41 P6 3-5
1 A90 P9 9-12
9 A23 P2 1-3
30 A38 P7 9-12
23 A50 P2 1-3
9 A95 P9 1-3
21 A16 P5 9-12
6 A70 P8 3-5
8 A38 P3 3-5
21 A1 P7 1-3
10 A36 P7 3-5
18 A31 P1 9-12
8 A34 P8 3-5
13 A98 P10 1-3
19 A55 P6 3-5
30 A44 P1 1-3
4 A78 P4 9-12
14 A25 P2 1-3
3 A26 P3 3-5
12 A70 P7 1-3
26 A68 P10 3-5
1 A41 P6 9-12
15 A23 P2 9-12
13 A56 P8 9-12
12 A52 P1 9-12
23 A31 P1 9-12
2 A80 P6 9-12
7 A45 P4 1-3
25 A45 P3 1-3
29 A88 P6 9-12
28 A89 P6 1-3
18 A22 P3 3-5
27 A30 P4 3-5
20 A30 P8 9-12
28 A14 P2 9-12
29 A98 P10 1-3
14 A99 P6 1-3
14 A35 P2 9-12
7 A88 P8 1-3
3 A62 P6 1-3
13 A28 P6 1-3
12 A81 P3 3-5
30 A1 P8 9-12
10 A41 P6 1-3
20 A61 P2 3-5
19 A6 P3 9-12
24 A85 P10 1-3
20 A90 P7 1-3
29 A62 P3 9-12
25 A80 P6 9-12
8 A2 P5 1-3
6 A25 P3 3-5
27 A97 P9 1-3
6 A88 P6 9-12
13 A32 P6 9-12
23 A85 P1 1-3
14 A33 P10 1-3
6 A84 P1 3-5
25 A87 P6 3-5
12 A71 P6 1-3
14 A16 P1 9-12
27 A3 P6 9-12
9 A73 P10 9-12
6 A66 P5 9-12
2 A65 P7 1-3
11 A82 P5 9-12
9 A66 P5 9-12
18 A57 P7 3-5
10 A58 P10 1-3
5 A8 P6 1-3
21 A19 P6 1-3
23 A58 P7 3-5
25 A96 P1 3-5
25 A20 P6 9-12
19 A31 P10 9-12
21 A65 P3 3-5
17 A64 P3 9-12
18 A77 P5 9-12
12 A98 P8 1-3
17 A20 P9 1-3
19 A7 P1 1-3
12 A8 P2 9-12
16 A85 P10 9-12
7 A14 P8 1-3
29 A5 P3 9-12
15 A6 P2 9-12
11 A63 P9 1-3
19 A55 P8 3-5
10 A47 P8 9-12
6 A27 P7 3-5
4 A87 P2 3-5
20 A9 P9 9-12
6 A9 P6 9-12
14 A37 P2 9-12
2 A21 P3 9-12
17 A69 P1 3-5
3 A58 P9 3-5
26 A68 P6 9-12
12 A55 P9 1-3
12 A78 P3 1-3
12 A49 P3 1-3
23 A21 P2 9-12
22 A2 P7 3-5
9 A71 P6 9-12
16 A87 P7 9-12
18 A38 P5 3-5
1 A11 P6 1-3
8 A90 P8 3-5
17 A30 P4 9-12
8 A18 P1 1-3
2 A73 P2 1-3
15 A27 P2 1-3
28 A4 P8 9-12
18 A81 P3 9-12
27 A32 P4 9-12
5 A43 P9 9-12
15 A71 P7 3-5
2 A60 P3 9-12
3 A73 P7 1-3
12 A98 P6 9-12
25 A92 P5 1-3
27 A46 P8 9-12
18 A32 P4 3-5
10 A98 P8 1-3
30 A86 P9 1-3
28 A81 P10 1-3
13 A7 P8 9-12
29 A69 P10 9-12
6 A29 P1 1-3
18 A60 P4 9-12
25 A61 P2 3-5
17 A94 P4 3-5
10 A58 P10 1-3
14 A90 P9 9-12
10 A69 P9 3-5
21 A40 P3 1-3
15 A30 P5 9-12
16 A84 P1 1-3
24 A72 P9 9-12
9 A2 P4 1-3
16 A57 P3 1-3
11 A89 P8 1-3
18 A47 P9 3-5
19 A39 P1 3-5
26 A22 P9 3-5
27 A17 P10 1-3
14 A41 P1 9-12
1 A88 P5 9-12
1 A40 P4 1-3
26 A91 P4 9-12
2 A50 P1 1-3
5 A32 P6 9-12
29 A26 P8 3-5
18 A27 P7 3-5
27 A2 P9 1-3
30 A21 P1 3-5
14 A48 P7 9-12
17 A76 P6 9-12
30 A16 P5 9-12
25 A38 P8 1-3
16 A13 P8 9-12
20 A68 P2 1-3
19 A20 P7 9-12
18 A50 P10 1-3
6 A27 P1 1-3
30 A37 P9 3-5
28 A25 P7 3-5
9 A85 P10 1-3
30 A46 P1 9-12
22 A28 P1 1-3
13 A13 P6 1-3
16 A17 P9 1-3
15 A7 P7 9-12
24 A47 P9 1-3
3 A59 P5 3-5
29 A40 P9 9-12
22 A85 P10 3-5
12 A89 P7 9-12
17 A53 P4 9-12
25 A61 P6 3-5
21 A93 P1 3-5
19 A28 P8 1-3
30 A5 P3 9-12
30 A5 P10 9-12
29 A77 P9 1-3
27 A42 P4 9-12
13 A2 P2 1-3
2 A24 P9 3-5
13 A29 P1 1-3
27 A98 P10 9-12
26 A19 P9 9-12
25 A8 P8 1-3
12 A89 P8 9-12
6 A70 P1 9-12
5 A68 P2 9-12
2 A22 P4 3-5
6 A51 P3 3-5
30 A37 P3 3-5
17 A96 P6 3-5
1 A77 P2 1-3
26 A68 P6 1-3
15 A85 P9 3-5
24 A15 P9 3-5
18 A89 P4 1-3
15 A26 P3 3-5
27 A13 P3 1-3
26 A19 P9 3-5
9 A86 P9 9-12
26 A68 P8 1-3
19 A39 P2 1-3
25 A70 P1 1-3
7 A46 P9 1-3
14 A40 P6 3-5
2 A84 P10 3-5
21 A59 P7 3-5
2 A32 P9 9-12
15 A31 P4 9-12
22 A89 P10 3-5
17 A21 P1 1-3
1 A43 P3 1-3
25 A81 P5 9-12
28 A26 P5 3-5
7 A66 P4 3-5
8 A44 P10 3-5
23 A36 P4 3-5
24 A30 P1 3-5
20 A48 P3 3-5
4 A65 P10 1-3
1 A13 P8 1-3
17 A70 P1 9-12
20 A31 P5 9-12
8 A76 P5 3-5
7 A12 P8 1-3
12 A36 P4 1-3
23 A77 P10 1-3
15 A50 P8 1-3
12 A31 P1 9-12
18 A43 P9 9-12
1 A11 P7 3-5
16 A84 P6 1-3
5 A32 P10 3-5
24 A63 P3 1-3
9 A2 P4 1-3
13 A15 P2 3-5
6 A27 P8 3-5
29 A75 P6 9-12
2 A68 P4 1-3
16 A73 P6 9-12
13 A44 P5 3-5
27 A66 P2 3-5
15 A39 P9 1-3
2 A25 P6 9-12
24 A11 P10 3-5
18 A41 P8 1-3
10 A85 P6 1-3
13 A73 P7 3-5
12 A78 P7 9-12
23 A52 P1 3-5
5 A32 P5 9-12
3 A85 P10 9-12
27 A1 P7 3-5
1 A9 P1 3-5
25 A26 P10 3-5
9 A8 P2 1-3
21 A30 P4 9-12
23 A55 P7 3-5
29 A7 P7 1-3
8 A96 P6 1-3
1 A36 P8 1-3
5 A97 P10 9-12
12 A70 P4 1-3
13 A90 P2 1-3
1 A26 P5 3-5
19 A51 P3 9-12
3 A5 P9 9-12
23 A71 P2 1-3
10 A39 P3 1-3
6 A84 P2 3-5
3 A16 P9 1-3
20 A61 P2 3-5
19 A52 P10 1-3
17 A76 P10 3-5
10 A14 P5 1-3
16 A72 P6 3-5
22 A87 P8 1-3
26 A87 P4 9-12
7 A74 P6 9-12
1 A95 P4 9-12
4 A25 P2 3-5
30 A31 P1 1-3
22 A45 P5 9-12
28 A80 P6 3-5
25 A1 P7 1-3
25 A34 P2 3-5
30 A31 P1 9-12
16 A62 P5 9-12
11 A99 P6 3-5
2 A57 P7 3-5
3 A49 P1 1-3
16 A18 P9 3-5
25 A15 P7 3-5
24 A19 P1 3-5
26 A19 P3 3-5
5 A32 P1 3-5
13 A49 P7 9-12
30 A88 P1 1-3
19 A92 P10 9-12
12 A48 P7 9-12
8 A88 P1 1-3
7 A76 P1 3-5
5 A32 P10 3-5
9 A34 P8 3-5
16 A61 P9 3-5
21 A86 P8 9-12
17 A46 P3 3-5
23 A77 P2 1-3
6 A63 P7 1-3
8 A87 P1 9-12
18 A6 P2 1-3
18 A65 P10 3-5
7 A34 P10 3-5
12 A73 P6 3-5
28 A84 P7 3-5
4 A39 P4 3-5
28 A82 P1 9-12
25 A91 P10 9-12
15 A52 P2 9-12
7 A58 P10 9-12
5 A67 P7 1-3
15 A58 P3 1-3
12 A44 P8 1-3
1 A51 P9 1-3
11 A53 P10 1-3
25 A83 P10 1-3
9 A30 P3 3-5
7 A95 P4 9-12
4 A40 P2 1-3
5 A81 P10 3-5
20 A14 P1 9-12
27 A30 P4 3-5
24 A5 P1 9-12
3 A91 P1 9-12
16 A66 P6 3-5
28 A69 P7 1-3
27 A69 P6 9-12
2 A25 P8 3-5
20 A11 P6 9-12
15 A43 P9 3-5
5 A49 P10 9-12
1 A67 P1 3-5
5 A87 P10 3-5
12 A26 P7 3-5
19 A1 P3 1-3
30 A30 P1 3-5
28 A13 P10 1-3
19 A16 P8 1-3
8 A94 P5 3-5
11 A29 P5 1-3
1 A79 P1 9-12
13 A74 P5 9-12
28 A54 P10 3-5
6 A62 P9 9-12
25 A4 P7 3-5
27 A81 P1 1-3
20 A42 P6 9-12
20 A29 P4 1-3
10 A91 P8 3-5
17 A69 P9 3-5
25 A7 P6 9-12
16 A29 P1 9-12
7 A94 P5 3-5
28 A55 P2 3-5
1 A2 P7 9-12
13 A33 P8 9-12
30 A99 P7 1-3
2 A67 P7 3-5
14 A55 P2 9-12
20 A66 P5 3-5
20 A16 P8 3-5
26 A85 P3 3-5
14 A68 P10 1-3
16 A12 P3 3-5
29 A17 P4 3-5
9 A4 P7 3-5
21 A71 P3 3-5
20 A32 P6 3-5
1 A94 P5 1-3
28 A15 P8 9-12
14 A46 P9 1-3
21 A27 P5 9-12
5 A32 P6 1-3
13 A91 P7 9-12
27 A53 P7 1-3
30 A94 P5 9-12
5 A13 P8 3-5
15 A99 P1 1-3
5 A92 P10 1-3
11 A18 P1 9-12
12 A62 P6 1-3
29 A94 P1 3-5
22 A79 P1 1-3
5 A32 P8 1-3
24 A91 P3 9-12
26 A19 P5 9-12
8 A22 P9 9-12
17 A32 P6 9-12
24 A83 P3 1-3
30 A34 P8 3-5
1 A95 P4 3-5
8 A45 P3 1-3
8 A74 P7 9-12
26 A50 P4 1-3
23 A4 P7 9-12
23 A18 P2 3-5
11 A42 P6 9-12
29 A8 P9 1-3
11 A12 P6 1-3
18 A82 P6 1-3
21 A41 P3 1-3
19 A18 P1 9-12
27 A95 P4 3-5
26 A29 P1 3-5
7 A42 P6 9-12
29 A67 P7 1-3
12 A88 P5 9-12
29 A94 P1 3-5
18 A81 P10 3-5
19 A40 P1 3-5
5 A77 P2 1-3
27 A72 P1 9-12
23 A89 P10 9-12
16 A53 P8 3-5
14 A55 P6 3-5
28 A65 P10 3-5
15 A79 P1 1-3
29 A26 P2 9-12
27 A50 P8 1-3
2 A22 P6 1-3
16 A43 P2 9-12
24 A44 P2 3-5
19 A16 P8 3-5
12 A24 P10 3-5
1 A76 P1 1-3
7 A25 P1 9-12
9 A1 P6 9-12
8 A15 P8 1-3
9 A66 P4 3-5
11 A25 P3 1-3
7 A88 P1 1-3
29 A46 P9 3-5
30 A53 P6 9-12
21 A25 P5 3-5
20 A86 P3 3-5
16 A52 P10 1-3
27 A53 P7 9-12
30 A39 P6 9-12
29 A99 P3 1-3
7 A75 P3 3-5
4 A88 P3 9-12
24 A90 P8 1-3
20 A95 P3 9-12
26 A85 P10 1-3
17 A84 P1 9-12
21 A25 P2 9-12
2 A83 P4 3-5
15 A22 P4 3-5
10 A12 P5 3-5
24 A49 P4 9-12
9 A1 P7 3-5
10 A84 P4 3-5
8 A34 P1 1-3
25 A24 P9 3-5
20 A25 P8 3-5
24 A69 P10 3-5
2 A39 P3 1-3
11 A16 P7 9-12
22 A79 P2 1-3
16 A11 P3 3-5
20 A8 P5 3-5
1 A34 P6 3-5
7 A73 P2 9-12
18 A59 P10 9-12
16 A12 P7 9-12
25 A31 P6 9-12
14 A99 P6 9-12
8 A44 P3 9-12
1 A67 P4 3-5
30 A98 P6 1-3
22 A45 P3 1-3
3 A75 P10 9-12
7 A66 P7 3-5
30 A61 P4 3-5
9 A79 P1 3-5
19 A80 P1 1-3
15 A97 P7 1-3
18 A53 P4 9-12
19 A39 P9 3-5
13 A7 P1 1-3
21 A5 P7 9-12
19 A82 P6 3-5
7 A82 P5 9-12
1 A14 P10 3-5
1 A23 P10 9-12
5 A32 P5 1-3
18 A17 P2 9-12
19 A12 P4 9-12
6 A28 P9 3-5
14 A34 P2 3-5
23 A98 P4 1-3
24 A44 P1 3-5
24 A28 P5 1-3
30 A24 P3 1-3
23 A74 P3 9-12
26 A53 P4 9-12
6 A46 P5 1-3
10 A63 P5 9-12
7 A11 P9 3-5
12 A52 P9 1-3
25 A83 P4 9-12
10 A14 P6 1-3
12 A0 P8 9-12
24 A51 P10 3-5
27 A68 P5 9-12
4 A68 P4 3-5
29 A86 P10 1-3
10 A85 P10 1-3
5 A32 P10 3-5
4 A68 P1 9-12
19 A71 P3 9-12
30 A10 P7 9-12
21 A90 P2 3-5
2 A64 P2 9-12
29 A19 P4 3-5
30 A56 P7 9-12
9 A59 P1 9-12
5 A92 P10 3-5
3 A93 P8 9-12
9 A66 P6 3-5
20 A63 P4 1-3
10 A14 P7 9-12
6 A1 P2 1-3
18 A36 P1 9-12
28 A22 P2 3-5
26 A15 P6 3-5
7 A74 P9 9-12
16 A17 P10 3-5
5 A1 P7 1-3
27 A1 P6 3-5
14 A99 P8 9-12
2 A12 P4 3-5
16 A19 P8 9-12
1 A48 P8 3-5
9 A25 P7 3-5
23 A32 P3 9-12
12 A30 P4 3-5
21 A38 P6 3-5
24 A90 P9 3-5
1 A8 P9 1-3
3 A38 P8 3-5
20 A59 P3 3-5
17 A57 P8 1-3
27 A70 P4 1-3
1 A82 P9 3-5
21 A60 P8 9-12
27 A63 P10 1-3
19 A75 P4 3-5
11 A59 P10 3-5
10 A14 P7 9-12
22 A81 P10 3-5
22 A52 P3 1-3
6 A20 P6 9-12
22 A78 P3 9-12
7 A41 P6 9-12
7 A92 P7 3-5
30 A92 P5 1-3
18 A72 P1 3-5
11 A25 P2 1-3
27 A68 P8 1-3
17 A71 P8 3-5
14 A33 P5 1-3
16 A87 P2 3-5
12 A49 P5 3-5
25 A50 P10 9-12
27 A17 P7 3-5
9 A77 P4 1-3
2 A22 P1 3-5
25 A60 P8 9-12
28 A97 P3 9-12
7 A35 P2 3-5
27 A23 P8 9-12
21 A29 P1 3-5
1 A0 P4 3-5
25 A14 P7 9-12
5 A8 P10 1-3
5 A32 P8 3-5
16 A66 P4 1-3
16 A58 P10 1-3
2 A99 P1 9-12
14 A49 P10 9-12
14 A98 P9 9-12
8 A11 P1 3-5
11 A51 P10 3-5
26 A41 P2 1-3
27 A83 P7 9-12
27 A7 P8 1-3
11 A61 P1 1-3
6 A74 P6 9-12
20 A88 P7 9-12
18 A95 P10 1-3
13 A38 P8 3-5
15 A0 P2 1-3
30 A60 P1 9-12
23 A50 P8 1-3
2 A70 P6 1-3
12 A46 P3 3-5
18 A61 P4 3-5
13 A71 P1 3-5
12 A29 P6 1-3
7 A17 P5 9-12
3 A32 P4 1-3
24 A97 P1 3-5
2 A35 P2 9-12
27 A9 P6 1-3
8 A1 P5 3-5
9 A62 P3 3-5
10 A57 P2 1-3
1 A86 P5 3-5
19 A54 P1 9-12
21 A59 P8 3-5
7 A9 P3 3-5
25 A58 P7 1-3
22 A21 P1 1-3
17 A59 P10 1-3
1 A86 P9 3-5
